id,name,instructions,short_description,category,sub_category,image,difficulty_level,rep_range_min,rep_range_max,recommended_duration_seconds,recommended_rest_seconds,estimated_calories_per_minute,range_of_motion,injury_risk_level,next_progression_exercise,previous_progression_exercise
13,Course Saute 13,Instructions generees pour Course Saute 13. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_13.png,Intermediaire,8,15,90,90,8.0,Complet,Faible,,
14,Fentes Claquee 14,Instructions generees pour Fentes Claquee 14. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_14.png,Intermediaire,5,50,90,90,4.0,Partiel,Moyen,,
15,Session Endurance 15,Instructions generees pour Session Endurance 15. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_15.png,Intermediaire,,,1800,0,8.0,Etendu,Moyen,4,3
16,Saut Barre 61,Instructions generees pour Saut Barre 61. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_16.png,Debutant,5,15,90,90,9.0,Complet,Moyen,,
17,Fentes Incline 83,Instructions generees pour Fentes Incline 83. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_17.png,Avance,10,12,60,30,5.0,Complet,Eleve,5,4
18,Saut Incline 64,Instructions generees pour Saut Incline 64. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_18.png,Intermediaire,10,8,90,30,5.0,Partiel,Eleve,,
19,Squat Incline 27,Instructions generees pour Squat Incline 27. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_19.png,Intermediaire,8,15,45,30,9.0,Etendu,Eleve,,
20,Session Endurance 20,Instructions generees pour Session Endurance 20. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_20.png,Debutant,,,1200,0,8.0,Partiel,Faible,,
21,Developpe Unilateral 85,Instructions generees pour Developpe Unilateral 85. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_21.png,Avance,8,15,30,90,7.0,Etendu,Eleve,15,14
22,Tirage Halteres 49,Instructions generees pour Tirage Halteres 49. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_22.png,Avance,3,12,45,30,5.0,Etendu,Moyen,,
23,Session Sprint 23,Instructions generees pour Session Sprint 23. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_23.png,Debutant,,,1800,0,8.0,Complet,Moyen,15,14
24,Session Fractionne 24,Instructions generees pour Session Fractionne 24. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_24.png,Avance,,,1200,0,12.0,Complet,Faible,,
25,Fentes Claquee 25,Instructions generees pour Fentes Claquee 25. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_25.png,Intermediaire,8,10,45,60,8.0,Complet,Moyen,,
26,Souleve Statique 26,Instructions generees pour Souleve Statique 26. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_26.png,Intermediaire,8,50,60,120,6.0,Partiel,Faible,,
27,Session Sprint 27,Instructions generees pour Session Sprint 27. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_27.png,Debutant,,,1800,0,12.0,Etendu,Faible,,
28,Session Sprint 28,Instructions generees pour Session Sprint 28. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_28.png,Debutant,,,600,0,8.0,Complet,Faible,6,5
29,Developpe Poulie 8,Instructions generees pour Developpe Poulie 8. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_29.png,Intermediaire,8,8,60,30,9.0,Complet,Eleve,,
30,Developpe Unilateral 63,Instructions generees pour Developpe Unilateral 63. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_30.png,Avance,3,5,30,60,7.0,Complet,Eleve,12,11
31,Pompes Halteres 57,Instructions generees pour Pompes Halteres 57. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_31.png,Debutant,10,15,120,120,9.0,Complet,Moyen,,
32,Session Fractionne 32,Instructions generees pour Session Fractionne 32. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_32.png,Avance,,,1800,0,15.0,Etendu,Moyen,,
33,Session Fractionne 33,Instructions generees pour Session Fractionne 33. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_33.png,Debutant,,,1200,0,12.0,Etendu,Faible,,
34,Squat Statique 34,Instructions generees pour Squat Statique 34. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_34.png,Intermediaire,15,15,30,120,4.0,Partiel,Moyen,,
35,Session Fractionne 35,Instructions generees pour Session Fractionne 35. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_35.png,Debutant,,,600,0,8.0,Etendu,Faible,8,7
36,Session Sprint 36,Instructions generees pour Session Sprint 36. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_36.png,Debutant,,,600,0,8.0,Complet,Faible,,
37,Course Lent 37,Instructions generees pour Course Lent 37. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_37.png,Avance,5,10,60,30,5.0,Partiel,Faible,,
38,Developpe Claquee 38,Instructions generees pour Developpe Claquee 38. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_38.png,Intermediaire,5,10,120,120,6.0,Partiel,Faible,25,24
39,Session Sprint 39,Instructions generees pour Session Sprint 39. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_39.png,Avance,,,1800,0,15.0,Complet,Moyen,28,27
40,Gainage Halteres 39,Instructions generees pour Gainage Halteres 39. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_40.png,Intermediaire,5,8,45,30,7.0,Etendu,Eleve,,
41,Tirage Poulie 63,Instructions generees pour Tirage Poulie 63. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_41.png,Debutant,3,12,120,30,5.0,Partiel,Eleve,6,5
42,Tirage Lent 42,Instructions generees pour Tirage Lent 42. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_42.png,Debutant,10,20,60,120,8.0,Partiel,Faible,26,25
43,Session Endurance 43,Instructions generees pour Session Endurance 43. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_43.png,Avance,,,1800,0,15.0,Etendu,Moyen,,
44,Crunch Statique 44,Instructions generees pour Crunch Statique 44. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_44.png,Intermediaire,10,50,60,90,5.0,Etendu,Faible,,
45,Session Endurance 45,Instructions generees pour Session Endurance 45. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_45.png,Intermediaire,,,1200,0,10.0,Etendu,Moyen,,
46,Souleve Poulie 48,Instructions generees pour Souleve Poulie 48. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_46.png,Debutant,8,12,45,90,9.0,Partiel,Eleve,,
47,Session Sprint 47,Instructions generees pour Session Sprint 47. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_47.png,Avance,,,1800,0,12.0,Etendu,Faible,9,8
48,Tirage Kettlebell 7,Instructions generees pour Tirage Kettlebell 7. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_48.png,Debutant,5,5,60,120,7.0,Partiel,Moyen,33,32
49,Pompes Statique 49,Instructions generees pour Pompes Statique 49. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_49.png,Intermediaire,10,10,90,60,4.0,Complet,Moyen,,
50,Developpe Halteres 57,Instructions generees pour Developpe Halteres 57. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_50.png,Intermediaire,5,8,60,60,7.0,Etendu,Moyen,13,12
51,Crunch Claquee 51,Instructions generees pour Crunch Claquee 51. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_51.png,Avance,5,15,60,120,8.0,Partiel,Faible,,
52,Session Endurance 52,Instructions generees pour Session Endurance 52. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_52.png,Intermediaire,,,600,0,15.0,Complet,Faible,,
53,Developpe Bande Elastique 87,Instructions generees pour Developpe Bande Elastique 87. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_53.png,Debutant,5,5,45,120,9.0,Partiel,Moyen,,
54,Squat Claquee 54,Instructions generees pour Squat Claquee 54. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_54.png,Avance,5,15,90,90,4.0,Etendu,Faible,51,50
55,Saut Barre 42,Instructions generees pour Saut Barre 42. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_55.png,Debutant,8,15,45,90,5.0,Partiel,Eleve,54,53
56,Fentes Barre 3,Instructions generees pour Fentes Barre 3. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_56.png,Avance,8,12,45,120,9.0,Complet,Moyen,4,3
57,Tirage Statique 57,Instructions generees pour Tirage Statique 57. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_57.png,Debutant,10,10,90,30,6.0,Complet,Faible,42,41
58,Gainage Bande Elastique 56,Instructions generees pour Gainage Bande Elastique 56. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_58.png,Debutant,3,5,60,90,5.0,Complet,Eleve,11,10
59,Session Endurance 59,Instructions generees pour Session Endurance 59. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_59.png,Avance,,,600,0,12.0,Complet,Moyen,20,19
60,Developpe Claquee 60,Instructions generees pour Developpe Claquee 60. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_60.png,Debutant,10,10,60,30,5.0,Complet,Moyen,8,7
61,Squat Statique 61,Instructions generees pour Squat Statique 61. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_61.png,Intermediaire,5,20,45,120,4.0,Etendu,Moyen,6,5
62,Tirage Halteres 5,Instructions generees pour Tirage Halteres 5. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_62.png,Debutant,3,12,45,90,9.0,Complet,Moyen,,
63,Developpe Decline 79,Instructions generees pour Developpe Decline 79. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_63.png,Debutant,5,12,90,120,7.0,Partiel,Moyen,,
64,Souleve Halteres 41,Instructions generees pour Souleve Halteres 41. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_64.png,Debutant,10,8,30,30,9.0,Etendu,Moyen,21,20
65,Session Fractionne 65,Instructions generees pour Session Fractionne 65. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_65.png,Debutant,,,600,0,10.0,Etendu,Moyen,,
66,Developpe Claquee 66,Instructions generees pour Developpe Claquee 66. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_66.png,Avance,10,10,45,120,8.0,Partiel,Faible,,
67,Pompes Lent 67,Instructions generees pour Pompes Lent 67. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_67.png,Avance,8,10,120,90,6.0,Partiel,Faible,15,14
68,Session Fractionne 68,Instructions generees pour Session Fractionne 68. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_68.png,Intermediaire,,,1800,0,15.0,Partiel,Moyen,,
69,Course Bande Elastique 38,Instructions generees pour Course Bande Elastique 38. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_69.png,Avance,8,8,45,60,5.0,Etendu,Moyen,18,17
70,Crunch Saute 70,Instructions generees pour Crunch Saute 70. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_70.png,Debutant,8,50,90,60,4.0,Complet,Moyen,,
71,Souleve Poulie 55,Instructions generees pour Souleve Poulie 55. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_71.png,Debutant,5,15,60,30,9.0,Etendu,Moyen,,
72,Souleve Incline 12,Instructions generees pour Souleve Incline 12. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_72.png,Intermediaire,10,8,90,60,9.0,Etendu,Moyen,,
73,Course Lent 73,Instructions generees pour Course Lent 73. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_73.png,Avance,10,50,30,90,8.0,Etendu,Moyen,25,24
74,Course Claquee 74,Instructions generees pour Course Claquee 74. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_74.png,Intermediaire,10,50,90,120,8.0,Etendu,Faible,29,28
75,Crunch Incline 71,Instructions generees pour Crunch Incline 71. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_75.png,Intermediaire,3,12,120,60,7.0,Complet,Moyen,30,29
76,Developpe Bande Elastique 86,Instructions generees pour Developpe Bande Elastique 86. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_76.png,Intermediaire,10,15,120,90,9.0,Partiel,Moyen,63,62
77,Session Endurance 77,Instructions generees pour Session Endurance 77. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_77.png,Intermediaire,,,1800,0,8.0,Partiel,Faible,76,75
78,Session Endurance 78,Instructions generees pour Session Endurance 78. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_78.png,Avance,,,1200,0,15.0,Etendu,Faible,20,19
79,Developpe Saute 79,Instructions generees pour Developpe Saute 79. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_79.png,Intermediaire,8,15,90,30,4.0,Partiel,Moyen,,
80,Saut Unilateral 34,Instructions generees pour Saut Unilateral 34. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_80.png,Debutant,8,5,120,120,7.0,Complet,Moyen,,
81,Session Fractionne 81,Instructions generees pour Session Fractionne 81. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_81.png,Intermediaire,,,600,0,15.0,Partiel,Moyen,,
82,Session Endurance 82,Instructions generees pour Session Endurance 82. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_82.png,Debutant,,,1200,0,12.0,Partiel,Faible,,
83,Session Endurance 83,Instructions generees pour Session Endurance 83. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_83.png,Debutant,,,600,0,10.0,Etendu,Faible,,
84,Session Endurance 84,Instructions generees pour Session Endurance 84. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_84.png,Intermediaire,,,1200,0,10.0,Complet,Faible,56,55
85,Session Endurance 85,Instructions generees pour Session Endurance 85. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_85.png,Avance,,,1200,0,12.0,Complet,Faible,80,79
86,Session Fractionne 86,Instructions generees pour Session Fractionne 86. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_86.png,Debutant,,,600,0,10.0,Partiel,Faible,,
87,Session Endurance 87,Instructions generees pour Session Endurance 87. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_87.png,Debutant,,,600,0,8.0,Partiel,Moyen,78,77
88,Crunch Incline 37,Instructions generees pour Crunch Incline 37. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_88.png,Debutant,8,12,120,90,7.0,Partiel,Eleve,6,5
89,Gainage Poulie 9,Instructions generees pour Gainage Poulie 9. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_89.png,Avance,3,15,90,60,7.0,Partiel,Eleve,,
90,Souleve Poulie 19,Instructions generees pour Souleve Poulie 19. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_90.png,Intermediaire,3,8,120,60,9.0,Partiel,Eleve,,
91,Souleve Claquee 91,Instructions generees pour Souleve Claquee 91. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_91.png,Debutant,8,20,60,90,5.0,Etendu,Faible,,
92,Souleve Poulie 65,Instructions generees pour Souleve Poulie 65. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_92.png,Debutant,8,15,45,60,9.0,Etendu,Eleve,49,48
93,Souleve Saute 93,Instructions generees pour Souleve Saute 93. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_93.png,Intermediaire,10,50,45,30,6.0,Partiel,Moyen,25,24
94,Session Sprint 94,Instructions generees pour Session Sprint 94. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_94.png,Avance,,,1800,0,8.0,Complet,Moyen,,
95,Souleve Unilateral 97,Instructions generees pour Souleve Unilateral 97. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_95.png,Debutant,3,8,45,60,7.0,Partiel,Moyen,,
96,Crunch Poulie 89,Instructions generees pour Crunch Poulie 89. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_96.png,Debutant,10,8,45,90,9.0,Etendu,Moyen,9,8
97,Session Endurance 97,Instructions generees pour Session Endurance 97. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_97.png,Avance,,,1200,0,12.0,Complet,Faible,,
98,Session Fractionne 98,Instructions generees pour Session Fractionne 98. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_98.png,Avance,,,1800,0,15.0,Partiel,Faible,30,29
99,Session Endurance 99,Instructions generees pour Session Endurance 99. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_99.png,Intermediaire,,,600,0,8.0,Partiel,Moyen,49,48
100,Course Bande Elastique 31,Instructions generees pour Course Bande Elastique 31. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_100.png,Debutant,5,12,90,120,9.0,Complet,Eleve,,
101,Session Sprint 101,Instructions generees pour Session Sprint 101. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_101.png,Avance,,,1200,0,10.0,Etendu,Faible,,
102,Course Claquee 102,Instructions generees pour Course Claquee 102. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_102.png,Avance,15,50,90,120,6.0,Etendu,Moyen,,
103,Pompes Lent 103,Instructions generees pour Pompes Lent 103. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_103.png,Debutant,10,15,120,30,5.0,Partiel,Faible,23,22
104,Crunch Claquee 104,Instructions generees pour Crunch Claquee 104. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_104.png,Intermediaire,10,10,60,30,8.0,Partiel,Moyen,79,78
105,Developpe Halteres 23,Instructions generees pour Developpe Halteres 23. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_105.png,Avance,3,5,60,120,7.0,Partiel,Moyen,78,77
106,Session Endurance 106,Instructions generees pour Session Endurance 106. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_106.png,Avance,,,1200,0,12.0,Complet,Moyen,,
107,Saut Kettlebell 17,Instructions generees pour Saut Kettlebell 17. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_107.png,Avance,3,15,90,90,9.0,Etendu,Moyen,68,67
108,Squat Saute 108,Instructions generees pour Squat Saute 108. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_108.png,Debutant,5,20,60,60,8.0,Partiel,Moyen,94,93
109,Session Fractionne 109,Instructions generees pour Session Fractionne 109. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_109.png,Intermediaire,,,1800,0,12.0,Partiel,Faible,,
110,Session Fractionne 110,Instructions generees pour Session Fractionne 110. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_110.png,Intermediaire,,,1800,0,12.0,Complet,Moyen,,
111,Session Sprint 111,Instructions generees pour Session Sprint 111. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_111.png,Debutant,,,1800,0,12.0,Complet,Faible,,
112,Fentes Kettlebell 94,Instructions generees pour Fentes Kettlebell 94. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_112.png,Debutant,8,12,45,120,9.0,Etendu,Eleve,,
113,Session Fractionne 113,Instructions generees pour Session Fractionne 113. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_113.png,Intermediaire,,,600,0,15.0,Complet,Faible,57,56
114,Session Fractionne 114,Instructions generees pour Session Fractionne 114. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_114.png,Debutant,,,600,0,15.0,Complet,Moyen,,
115,Saut Statique 115,Instructions generees pour Saut Statique 115. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_115.png,Debutant,15,15,90,60,4.0,Etendu,Moyen,,
116,Session Endurance 116,Instructions generees pour Session Endurance 116. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_116.png,Avance,,,600,0,8.0,Etendu,Faible,,
117,Course Lent 117,Instructions generees pour Course Lent 117. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_117.png,Intermediaire,15,50,45,120,8.0,Partiel,Moyen,33,32
118,Souleve Claquee 118,Instructions generees pour Souleve Claquee 118. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_118.png,Debutant,10,20,60,120,4.0,Etendu,Faible,23,22
119,Squat Statique 119,Instructions generees pour Squat Statique 119. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_119.png,Avance,8,50,120,90,4.0,Complet,Faible,,
120,Gainage Claquee 120,Instructions generees pour Gainage Claquee 120. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_120.png,Debutant,8,10,60,60,5.0,Complet,Moyen,30,29
121,Fentes Claquee 121,Instructions generees pour Fentes Claquee 121. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_121.png,Intermediaire,10,15,120,60,4.0,Complet,Moyen,,
122,Session Fractionne 122,Instructions generees pour Session Fractionne 122. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_122.png,Avance,,,1200,0,12.0,Complet,Faible,,
123,Saut Incline 60,Instructions generees pour Saut Incline 60. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_123.png,Debutant,8,8,90,30,7.0,Etendu,Moyen,48,47
124,Session Fractionne 124,Instructions generees pour Session Fractionne 124. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_124.png,Avance,,,1800,0,10.0,Partiel,Moyen,121,120
125,Pompes Decline 78,Instructions generees pour Pompes Decline 78. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_125.png,Intermediaire,8,12,60,90,5.0,Complet,Moyen,90,89
